question_number,raw_text,options,full_text,source_file,source_type,is_koklu,raw_text_ocr,full_text_ocr,options_ocr,extraction_method,note,question_type,has_image,has_table,has_graph,has_encoding_issues,complexity,raw_text_cleaned,page,question_text,solution_text,has_keyword
100,Soruda Tamkare Sayılar ve Tamkare Olmayan Sayıların Karekökleri VİDEO ÇÖZÜM Aşağıdaki sayılardan hangisi bir tam kare sayıdır? Efe b�r kâğıda 2 �le 42 arasındak� doğal sayıları yazmış- tır. Buna göre Efe’n�n yazdığı sayılardan kaç tanes� tam kare sayıdır?,"A) 34 B)45 C)49 D)72, A) 3 B)4 C)5 D)6",Soruda Tamkare Sayılar ve Tamkare Olmayan Sayıların Karekökleri VİDEO ÇÖZÜM Aşağıdaki sayılardan hangisi bir tam kare sayıdır? Efe b�r kâğıda 2 �le 42 arasındak� doğal sayıları yazmış- tır. A)34 B)45 C)49 D)72 Buna göre Efe’n�n yazdığı sayılardan kaç tanes� tam kare sayıdır? A) 3 B)4 C)5 D)6,karekok.pdf,pdf_karekok,True,Soruda Tamkare Sayılar ve Tamkare Olmayan Sayıların Karekökleri                                       (ml VİDET V EN Aşağıdaki sayılardan hangisi bir tam kare sayıdır?   71 Efe bir kâğıda 2 ile 42 arasındaki doğal sayıları yazmış- tır. Buna göre Efe'nin yazdığı sayılardan kaç tanesi tam kare sayıdır?,Soruda Tamkare Sayılar ve Tamkare Olmayan Sayıların Karekökleri                                       (ml VİDET V EN Aşağıdaki sayılardan hangisi bir tam kare sayıdır?   71 Efe bir kâğıda 2 ile 42 arasındaki doğal sayıları yazmış- tır. A) 34          B) 45          C) 49          D) 72                               N           .          N                             : Buna göre Efe'nin yazdığı sayılardan kaç tanesi tam kare sayıdır?,['A) 34          B) 45          C) 49          D) 72                               N           .          N                             :'],hybrid,Metin ve OCR versiyonları birleştirildi,yeni_nesil,False,False,False,False,orta,,,nan,,False
5,6 7 8 9 10 11 Sayı doğrusu üzerinde bulunan A ile B noktaları arası uzaklık aşağıdakilerden J I hangisi olur? E F AA)) 1 5 B) 2 0 C) 2 9 D) 32 A D 2,C) 11 ile 12 D) 12 ile 13,6 7 8 9 10 11 C) 11 ile 12 D) 12 ile 13 Sayı doğrusu üzerinde bulunan A ile B noktaları arası uzaklık aşağıdakilerden J I hangisi olur? E F AA)) 1 5 B) 2 0 C) 2 9 D) 32 A D 2,karekok.pdf,pdf_karekok,True,5             10            25,5             10            25,,hybrid,Metin ve OCR versiyonları birleştirildi,yeni_nesil,False,False,False,False,düşük,,,nan,,False
79,sayısı hangi iki ardışık tam sayı arasındadır? ò 30 sayısı sayı doğrusunda hangi iki tam sayı arasındadır?,"A) 6 ile 7 B)7 ile 8 C)8 ile 9 D)9 ile 10, A) 4 ile 5 B)5 ile 6 C)6 ile 7 D)7 ile 8",sayısı hangi iki ardışık tam sayı arasındadır? ò 30 sayısı sayı doğrusunda hangi iki tam sayı arasındadır? A)6 ile 7 B)7 ile 8 C)8 ile 9 D)9 ile 10 A)4 ile 5 B)5 ile 6 C)6 ile 7 D)7 ile 8,karekok.pdf,pdf_karekok,True,Alanı 117 m? olan kare şeklindeki bahçenin bir kenarının ölçüsü hangi iki tamsayı arasındadır?                                                              A                     İ,Alanı 117 m? olan kare şeklindeki bahçenin bir kenarının ölçüsü hangi iki tamsayı arasındadır?                                                              A                     İ A) 9 ile 10               B) 10ile 11 C) 11 ile 12           D) 12 ile 13                9 6 7 8 9 10 11,"['A) 9 ile 10               B) 10ile 11', 'C) 11 ile 12           D) 12 ile 13                9 6 7 8 9 10 11']",hybrid,Metin ve OCR versiyonları birleştirildi,yeni_nesil,False,False,False,False,düşük,,,nan,,False
10,"< x < 11 Olduğuna göre x aşağıdakilerden hangisi olamaz? (cid:3)(cid:3) 9 < b < 10 şartını sağlayan kaç farklı b tam sayısı vardır? ó ó ó ó Aşağıdaki sayılardan hangisi tam kare sayı değildir? Yolculuk sırasında şoföre “Kaç km yolumuz kaldı?"" diye cevap vermiştir. Buna göre yolculukta kaç km yol kalmış olabilir? ò ò ò ò √137 sayısı hangi iki tam sayı arasındadır? √75 sayısının yaklaşık değeri kaçtır? A","A) 105 B) 115 C) 120 D) 125, A) 15 B)16 C)17 D)18, A) 144 B)196 C)225 D)269 diye sorulduğunda şoför “4 km’den fazla, 5 km’den az.”, A) 10 B) 15 C) 20 D) 25, A) 121 – 144 B) 14 – 15 C)12 – 11 D)10 – 9 A)8,9 B)8,6 C)8,4 D)8,3","< x < 11 Olduğuna göre x aşağıdakilerden hangisi olamaz? (cid:3)(cid:3) 9 < b < 10 şartını sağlayan kaç farklı b tam sayısı vardır? ó ó ó ó A) 105 B) 115 C) 120 D) 125 A)15 B)16 C)17 D)18 Aşağıdaki sayılardan hangisi tam kare sayı değildir? Yolculuk sırasında şoföre “Kaç km yolumuz kaldı?"" A)144 B)196 C)225 D)269 diye sorulduğunda şoför “4 km’den fazla, 5 km’den az.” diye cevap vermiştir. Buna göre yolculukta kaç km yol kalmış olabilir? ò ò ò ò A) 10 B) 15 C) 20 D) 25 √137 sayısı hangi iki tam sayı arasındadır? √75 sayısının yaklaşık değeri kaçtır? A)121 – 144 B) 14 – 15 C)12 – 11 D)10 – 9 A)8,9 B)8,6 C)8,4 D)8,3 A",karekok.pdf,pdf_karekok,True,,,,text,,yeni_nesil,False,False,False,True,yüksek,"< x < 11 Olduğuna göre x aşağıdakilerden hangisi olamaz?  9 < b < 10 şartını sağlayan kaç farklı b tam sayısı vardır? ó ó ó ó Aşağıdaki sayılardan hangisi tam kare sayı değildir? Yolculuk sırasında şoföre “Kaç km yolumuz kaldı?"" diye cevap vermiştir. Buna göre yolculukta kaç km yol kalmış olabilir? ò ò ò ò √137 sayısı hangi iki tam sayı arasındadır? √75 sayısının yaklaşık değeri kaçtır? A",,"< x < 11 Olduğuna göre x aşağıdakilerden hangisi olamaz?  9 < b < 10 şartını sağlayan kaç farklı b tam sayısı vardır? ó ó ó ó Aşağıdaki sayılardan hangisi tam kare sayı değildir? Yolculuk sırasında şoföre “Kaç km yolumuz kaldı?"" diye cevap vermiştir. Buna göre yolculukta kaç km yol kalmış olabilir? ò ò ò ò √137 sayısı hangi iki tam sayı arasındadır? √75 sayısının yaklaşık değeri kaçtır? A",,True
43,sayısına en yakın tam sayı kaçtır? Aşağıda verilen sayılardan hangisi 8 ile 9 arasındadır?,A) 5 B)6 C)7 D)8,sayısına en yakın tam sayı kaçtır? A)5 B)6 C)7 D)8 Aşağıda verilen sayılardan hangisi 8 ile 9 arasındadır?,karekok.pdf,pdf_karekok,True,"Kartlarda yazan sayıların arka yüzünde, ön yüzdeki sa-  s0) 200 sayfalık bir kitabın sayfa numarası tam kare sayı olan yı tek ise ön yüzdeki sayıdan küçük en büyük tam kare         sayfalarında üçer tane beceri temelli soru yer almaktadır. sayı,ön yüzdeki çift ise ön yüzdeki sayıdan büyük en           Buna göre, bu kitapta en az kaç tane beceri temelli küçük tam kare sayı yer almaktadır.                              soru vardır? Buna göre kartların arka yüzlerindeki sayıların top-        A)36              B)39              042              D)45 lamı kaçtır?","Kartlarda yazan sayıların arka yüzünde, ön yüzdeki sa-  s0) 200 sayfalık bir kitabın sayfa numarası tam kare sayı olan yı tek ise ön yüzdeki sayıdan küçük en büyük tam kare         sayfalarında üçer tane beceri temelli soru yer almaktadır. sayı,ön yüzdeki çift ise ön yüzdeki sayıdan büyük en           Buna göre, bu kitapta en az kaç tane beceri temelli küçük tam kare sayı yer almaktadır.                              soru vardır? Buna göre kartların arka yüzlerindeki sayıların top-        A)36              B)39              042              D)45 lamı kaçtır? A)751           B)753           C)755           D)757",['A) 751           B)753           C)755           D)757'],hybrid,Metin ve OCR versiyonları birleştirildi,yeni_nesil,False,False,False,False,düşük,,,nan,,False
61,sayısının yaklaşık değeri aşağıda- Sayı doğrusunda 6 noktasının üzerinde duran kilerden hangisidir? araç 1 2 br sağa giderse hangi noktalar A B C D,"A) 6,9 B)7,4 C) 7,5 D)7,8 arasına gelmiş olur?, A) 6 ile 7 B) 7 ile 8, C) 8 ile 9 D) 9 ile 10","sayısının yaklaşık değeri aşağıda- Sayı doğrusunda 6 noktasının üzerinde duran kilerden hangisidir? araç 1 2 br sağa giderse hangi noktalar A)6,9 B)7,4 C) 7,5 D)7,8 arasına gelmiş olur? A) 6 ile 7 B) 7 ile 8 C) 8 ile 9 D) 9 ile 10 A B C D",karekok.pdf,pdf_karekok,True,,,,text,,yeni_nesil,False,False,False,False,orta,,,nan,,False
9,"10 11 12 13 Aşağıdakilerden hangisi K, L, M ve N nokta- 350 sayısı a ile b ardışık tam sayıları arasındadır. larının değerlerinden biri olamaz? BBuunnaa ggöörree AA++BB ttooppllaammıı kkaaççttıırr?? AA)) 9 1 B) 1 1 9 C) 1 4 5 D) 160 Alanı 32 cm2 olan karenin çevresinin ala- 10< x < 11 şartını sağlayan kaç farklı tam sayı cağı değer hangi iki tamsayı arasındadır? vardır? A","A) 37 B)36 C)35 D)34, A) 19 B)20 C)21 D)22, A) 20 ile 24 B) 16 ile 20, C) 12 ile 16 D) 8 ile 12","10 11 12 13 Aşağıdakilerden hangisi K, L, M ve N nokta- 350 sayısı a ile b ardışık tam sayıları arasındadır. larının değerlerinden biri olamaz? BBuunnaa ggöörree AA++BB ttooppllaammıı kkaaççttıırr?? A)37 B)36 C)35 D)34 AA)) 9 1 B) 1 1 9 C) 1 4 5 D) 160 Alanı 32 cm2 olan karenin çevresinin ala- 10< x < 11 şartını sağlayan kaç farklı tam sayı cağı değer hangi iki tamsayı arasındadır? vardır? A) 19 B)20 C)21 D)22 A) 20 ile 24 B) 16 ile 20 C) 12 ile 16 D) 8 ile 12 A",karekok.pdf,pdf_karekok,True,"10      11      12     13 76!  Aşağıdakilerden hangisi K, L, M ve N nokta-        82 350 sayısı a ile b ardışık tam sayıları arasındadır. larının değerlerinden biri olamaz?                             Buna göre A*B toplamı kaçtır? AYI BŞ  C)Yi45       D)V160","10      11      12     13 76!  Aşağıdakilerden hangisi K, L, M ve N nokta-        82 350 sayısı a ile b ardışık tam sayıları arasındadır. larının değerlerinden biri olamaz?                             Buna göre A*B toplamı kaçtır? A) 37           B) 36          C) 35      D) 34 AYI BŞ  C)Yi45       D)V160",['A) 37           B) 36          C) 35      D) 34'],hybrid,Metin ve OCR versiyonları birleştirildi,yeni_nesil,False,False,False,False,orta,,,nan,,False
12,13 0 1 2 3 4 5 6 Eş�t aralıklara bölünmüş sayı doğrusunda A noktası- na karşılık gelen sayı hang�s� olab�l�r? Yukarıdaki sayı doğrusunun üzerinde hangisi olabilir? AA)) 8 B) 1 2 CC)) 2 0 D 27 Alanı 117 m2 olan kare şeklindeki bahçenin bir kenarının ölçüsü hangi iki tamsayı A B arasındadır?,"A) 156 B) 157 ölçülen maket kılıcın boyu aşağıdakilerden, C) 158 D) 159, A) 9 ile 10 B) 10 ile 11",13 0 1 2 3 4 5 6 Eş�t aralıklara bölünmüş sayı doğrusunda A noktası- na karşılık gelen sayı hang�s� olab�l�r? Yukarıdaki sayı doğrusunun üzerinde A) 156 B) 157 ölçülen maket kılıcın boyu aşağıdakilerden hangisi olabilir? C) 158 D) 159 AA)) 8 B) 1 2 CC)) 2 0 D 27 Alanı 117 m2 olan kare şeklindeki bahçenin bir kenarının ölçüsü hangi iki tamsayı A B arasındadır? A) 9 ile 10 B) 10 ile 11,karekok.pdf,pdf_karekok,True,13                               O 1 2 3 4 5 6 78! Eşit aralıklara bölünmüş sayı doğrusunda A noktası na karşılık gelen sayı hangisi olabilir?                  84 Yukarıdaki sayı doğrusunun üzerinde,13                               O 1 2 3 4 5 6 78! Eşit aralıklara bölünmüş sayı doğrusunda A noktası na karşılık gelen sayı hangisi olabilir?                  84 Yukarıdaki sayı doğrusunun üzerinde A) V156                        B) V157                     ölçülen maket kılıcın boyu aşağıdakilerden C) ABE                         D) VAS                      hangisi olabilir” A) NS B)YI2 C)NY20 D V27,"['A) V156                        B) V157                     ölçülen maket kılıcın boyu aşağıdakilerden', 'C) ABE                         D) VAS                      hangisi olabilir”', 'A) NS B)YI2 C)NY20 D V27']",hybrid,Metin ve OCR versiyonları birleştirildi,yeni_nesil,False,False,False,False,orta,,,nan,,False
1,"2 3 4 5 6 7 Eş�t aralıklara bölünmüş sayı doğrusunda hang�s� Ceren hesap mak�nasında b�r doğal sayı yazıp karekök 30’un kareköküne karşılık gelen nokta olab�l�r? alma tuşuna basıyor. yazdığına göre, Ceren’n�n karekökünü hesapladığı dığı sayı aşağıdak�lerden hang�s� olamaz? Tamkare olmayan kaç tane rakam vardır? Yukarıda verilen sayılardan kaç tanesi tamkare sayı değildir? Sena'nıın evi ile okulu arasındaki mesafe 5 km'den fazla 6 km'den azdır. Buna göre, Sena'nın evi ile okulu Aşağıdaki sayılardan hangisi, kenar uzunluğu tam sayı arasındaki mesafe kilometre cinsinden olmayan bir karenin alanını gösterir? aşağıdakilerden hangisi olabilir? A)16 B)25 C)32 D)49 Aşağıdaki sayı doğrusunda 7 ile 11 arası 8 eş parçaya A B ayrılmıştır. A − 48 47 6 Yukarıdaki sayı doğrusunda A ve B noktalarına karşılık","A) )A B))B C))C D))D Ekranda çıkan sayının onda b�rler basamağında 7, A) )14 B))33 C))52 D))60, A) )7 B))6 C))5 D))4, A) )1 B))2 C))3 D))4, A) 18 B) 24 C) 34 D) 40","2 3 4 5 6 7 Eş�t aralıklara bölünmüş sayı doğrusunda hang�s� Ceren hesap mak�nasında b�r doğal sayı yazıp karekök 30’un kareköküne karşılık gelen nokta olab�l�r? alma tuşuna basıyor. A))A B))B C))C D))D Ekranda çıkan sayının onda b�rler basamağında 7 yazdığına göre, Ceren’n�n karekökünü hesapladığı dığı sayı aşağıdak�lerden hang�s� olamaz? A))14 B))33 C))52 D))60 Tamkare olmayan kaç tane rakam vardır? A))7 B))6 C))5 D))4 Yukarıda verilen sayılardan kaç tanesi tamkare sayı değildir? A))1 B))2 C))3 D))4 Sena'nıın evi ile okulu arasındaki mesafe 5 km'den fazla 6 km'den azdır. Buna göre, Sena'nın evi ile okulu Aşağıdaki sayılardan hangisi, kenar uzunluğu tam sayı arasındaki mesafe kilometre cinsinden olmayan bir karenin alanını gösterir? aşağıdakilerden hangisi olabilir? A)16 B)25 C)32 D)49 A) 18 B) 24 C) 34 D) 40 Aşağıdaki sayı doğrusunda 7 ile 11 arası 8 eş parçaya A B ayrılmıştır. A − 48 47 6 Yukarıdaki sayı doğrusunda A ve B noktalarına karşılık",karekok.pdf,pdf_karekok,True,gelen sayılar verilmiştir. na a A voktasına karşılık gelen sayı aşağıda-           Buna göre |AB)| uzunluğu birim cinsinden hangi tam Verden Nangısı Ganmır?                                         sayıya daha yakındır?,gelen sayılar verilmiştir. na a A voktasına karşılık gelen sayı aşağıda-           Buna göre |AB)| uzunluğu birim cinsinden hangi tam Verden Nangısı Ganmır?                                         sayıya daha yakındır? A) 80        B) V89       C)V92... DD)            A) 15         B) 14         Cc) 13        D) 12,['A) 80        B) V89       C)V92... DD)            A) 15         B) 14         Cc) 13        D) 12'],hybrid,Metin ve OCR versiyonları birleştirildi,yeni_nesil,False,False,False,False,yüksek,,,nan,,False
7,11 gelen sayılar verilmiştir. Buna göre A noktasına karşılık gelen sayı aşağıda- Buna göre |AB| uzunluğu birim cinsinden hangi tam kilerden hangisi olabilir? sayıya daha yakındır?,A) 80 B) 89 C) 92 D) 94 A))15 B))14 C))13 D))12,11 gelen sayılar verilmiştir. Buna göre A noktasına karşılık gelen sayı aşağıda- Buna göre |AB| uzunluğu birim cinsinden hangi tam kilerden hangisi olabilir? sayıya daha yakındır? A) 80 B) 89 C) 92 D) 94 A))15 B))14 C))13 D))12,karekok.pdf,pdf_karekok,True,100  Yukarıdaki sayı doğrusunda A ve B noktalarına karşılık,100  Yukarıdaki sayı doğrusunda A ve B noktalarına karşılık,,hybrid,Metin ve OCR versiyonları birleştirildi,yeni_nesil,False,False,False,False,orta,,,nan,,False
